ID, Nationality, Gender, Age, Degree, Hours on Readings, Hours on Assignments, Hours on Games, Hours on Internet, Exam, Grade, GradeLetter
256, China, 1,20, BS, 4, 4, 6, 13,56.54,65.48,C
257, China, 1,20, BS, 4, 4, 6, 13,40.08,50.45,F
258, China, 1,26, BS, 4, 4, 6, 13,84.67,75.81,C
259, China, 1,20, BS, 4, 4, 6, 13,80.75,78.98,C
260, China, 1,24, BS, 4, 4, 6, 13,51.08,50.37,F
261, China, 1,20, BS, 4, 4, 6, 13,51.69,67.98,C
262, China, 1,26, BS, 4, 4, 6, 13,68.84,68.96,C
263, China, 1,24, BS, 10, 9, 2, 9,89.33,96.13,A
264, China, 1,19, BS, 10, 9, 2, 9,94.76,95.41,A
265, China, 1,23, BS, 10, 9, 2, 9,96.25,93.88,A
266, China, 1,23, BS, 10, 9, 2, 9,84.56,81.11,B
267, China, 1,22, BS, 10, 9, 2, 9,93.00,92.35,A
268, China, 1,26, BS, 10, 9, 2, 9,92.73,96.33,A
269, China, 1,19, BS, 10, 9, 2, 9,91.92,99.73,A
270, China, 1,24, BS, 10, 9, 2, 9,84.59,86.20,B
271, China, 1,20, BS, 10, 9, 2, 9,88.99,85.25,B
272, China, 1,19, BS, 10, 9, 2, 9,81.98,91.50,A
273, China, 1,20, BS, 10, 9, 2, 9,96.25,87.96,B
274, China, 1,24, BS, 10, 9, 2, 9,91.71,80.14,B
275, China, 1,24, BS, 10, 9, 2, 9,85.94,82.15,B
276, China, 1,26, BS, 10, 9, 2, 9,83.59,84.63,B
277, China, 1,19, BS, 10, 9, 2, 9,82.79,95.03,A
278, China, 1,25, BS, 10, 9, 2, 9,83.67,85.52,B
279, China, 1,20, BS, 10, 9, 2, 9,89.77,84.39,B
280, China, 1,24, BS, 10, 9, 2, 9,92.72,83.43,B
281, China, 1,26, BS, 10, 9, 2, 9,99.90,97.84,A
282, China, 1,19, BS, 10, 9, 2, 9,90.99,93.67,A
283, China, 1,21, BS, 10, 9, 2, 9,80.29,95.75,A
284, China, 1,26, BS, 10, 9, 2, 9,91.58,91.64,A
285, China, 1,19, BS, 10, 9, 2, 9,97.07,81.57,B
286, China, 1,25, BS, 10, 9, 2, 9,95.11,89.25,A
287, China, 1,19, BS, 10, 9, 2, 9,89.64,82.04,B
288, China, 1,23, BS, 10, 9, 2, 9,80.56,96.30,A
289, China, 1,19, BS, 10, 9, 2, 9,98.39,94.56,A
290, China, 1,19, BS, 10, 9, 2, 9,96.19,92.69,A
291, China, 1,19, BS, 10, 9, 2, 9,91.07,81.43,B
292, China, 1,19, BS, 10, 9, 2, 9,99.20,96.42,A
293, India, 0,21, BS, 10, 2, 13, 10,59.74,56.50,F
294, India, 0,25, BS, 10, 2, 13, 10,84.43,70.16,C
295, India, 0,26, BS, 10, 2, 13, 10,69.10,65.31,C
296, India, 0,26, BS, 10, 2, 13, 10,63.37,68.06,C
297, India, 0,19, BS, 10, 2, 13, 10,62.29,71.34,C
298, India, 0,22, BS, 10, 2, 13, 10,53.60,66.24,C
299, India, 0,21, BS, 10, 2, 13, 10,50.56,54.17,F
300, India, 0,18, BS, 10, 2, 13, 10,44.78,63.30,C
301, India, 0,26, BS, 10, 2, 13, 10,75.26,82.95,B
302, India, 0,26, BS, 10, 2, 13, 10,66.50,73.80,C
303, India, 0,24, BS, 10, 2, 13, 10,66.32,66.41,C
304, India, 0,20, BS, 10, 2, 13, 10,47.74,57.94,F
305, India, 0,18, BS, 10, 2, 13, 10,80.87,70.23,C
306, India, 0,23, BS, 10, 2, 13, 10,40.73,57.76,F
307, India, 0,20, BS, 10, 2, 13, 10,66.31,70.41,C
308, India, 0,19, BS, 10, 2, 13, 10,49.31,63.74,C
309, India, 0,23, BS, 10, 2, 13, 10,73.45,72.79,C
310, India, 0,26, BS, 10, 2, 13, 10,64.38,67.88,C
311, India, 0,20, BS, 10, 2, 13, 10,50.42,60.12,C
312, India, 0,19, BS, 10, 2, 13, 10,55.13,68.22,C
313, India, 0,21, BS, 10, 2, 13, 10,42.80,68.84,C
314, India, 0,20, BS, 10, 2, 13, 10,51.17,55.48,F
315, India, 0,22, BS, 10, 2, 13, 10,67.04,64.47,C
316, India, 0,23, BS, 10, 2, 13, 10,70.62,82.12,B
317, India, 0,23, BS, 10, 2, 13, 10,62.51,69.35,C
318, China, 0,21, BS, 8, 1, 10, 8,54.31,50.74,F
319, China, 0,24, BS, 8, 1, 10, 8,67.48,67.56,C
320, China, 0,23, BS, 8, 1, 10, 8,64.26,66.50,C
321, China, 0,22, BS, 8, 1, 10, 8,49.83,60.67,C
322, China, 0,23, BS, 8, 1, 10, 8,75.97,72.12,C
323, China, 0,26, BS, 8, 1, 10, 8,68.88,63.40,C
324, China, 0,25, BS, 8, 1, 10, 8,45.80,55.77,F
325, China, 0,25, BS, 8, 1, 10, 8,74.90,77.04,C
326, China, 0,23, BS, 8, 1, 10, 8,54.13,60.45,C
327, China, 0,26, BS, 8, 1, 10, 8,48.46,64.74,C
328, China, 0,25, BS, 8, 1, 10, 8,41.15,61.28,C
329, China, 0,20, BS, 8, 1, 10, 8,62.52,61.91,C
330, China, 0,24, BS, 8, 1, 10, 8,61.43,68.53,C
331, China, 0,18, BS, 8, 1, 10, 8,80.03,80.69,B
332, China, 0,26, BS, 8, 1, 10, 8,52.69,60.40,C
333, China, 0,24, BS, 8, 1, 10, 8,58.26,67.77,C
334, China, 0,26, BS, 8, 1, 10, 8,58.53,60.25,C
335, China, 0,20, BS, 8, 1, 10, 8,82.11,79.11,B
336, China, 0,19, BS, 8, 1, 10, 8,41.28,68.90,C
337, China, 0,25, BS, 8, 1, 10, 8,70.12,82.52,B
338, China, 0,26, BS, 8, 1, 10, 8,51.04,69.99,C
339, China, 0,25, BS, 8, 1, 10, 8,52.58,64.07,C
340, China, 0,25, BS, 8, 1, 10, 8,82.75,77.83,C
341, China, 0,21, BS, 8, 1, 10, 8,51.27,57.83,F
342, China, 0,20, BS, 8, 1, 10, 8,61.12,74.45,C
343, China, 0,20, BS, 8, 1, 10, 8,40.48,63.74,C
344, China, 0,19, BS, 8, 1, 10, 8,65.16,60.72,C
345, China, 0,26, BS, 8, 1, 10, 8,40.44,57.78,F
346, China, 0,25, BS, 8, 1, 10, 8,60.53,66.88,C
347, China, 0,24, BS, 8, 1, 10, 8,70.78,73.99,C
348, China, 0,22, BS, 8, 1, 10, 8,62.78,62.93,C
349, China, 0,25, BS, 8, 1, 10, 8,43.48,68.87,C
350, China, 0,24, BS, 8, 1, 10, 8,41.98,61.09,C
351, China, 0,24, BS, 8, 1, 10, 8,49.89,64.34,C
352, China, 0,21, BS, 8, 1, 10, 8,42.57,65.48,C
353, China, 0,22, BS, 8, 1, 10, 8,54.85,54.70,F
354, Spain, 1,24, BS, 9, 9, 14, 8,84.27,79.38,B
355, Spain, 1,26, BS, 9, 9, 14, 8,70.31,87.81,B
356, Spain, 1,24, BS, 9, 9, 14, 8,75.23,88.27,A
357, Spain, 1,20, BS, 9, 9, 14, 8,89.31,87.52,B
358, Spain, 1,20, BS, 9, 9, 14, 8,84.68,75.48,C
359, Spain, 1,22, BS, 9, 9, 14, 8,73.38,75.21,C
360, Spain, 1,22, BS, 9, 9, 14, 8,82.47,87.46,B
361, Spain, 1,25, BS, 9, 9, 14, 8,89.22,71.51,C
362, Spain, 1,24, BS, 9, 9, 14, 8,74.84,76.32,C
363, Spain, 1,26, BS, 9, 9, 14, 8,85.11,70.60,C
364, Spain, 1,24, BS, 9, 9, 14, 8,75.66,72.44,C
365, Spain, 1,22, BS, 9, 9, 14, 8,87.66,84.49,B
366, Spain, 1,24, BS, 9, 9, 14, 8,74.11,88.83,A
367, Spain, 1,20, BS, 9, 9, 14, 8,74.06,71.66,C
368, Spain, 1,22, BS, 9, 9, 14, 8,86.05,76.87,C
369, Spain, 1,22, BS, 9, 9, 14, 8,74.66,87.45,B
370, Spain, 1,18, BS, 9, 9, 14, 8,88.72,84.78,B
371, Spain, 1,22, BS, 9, 9, 14, 8,74.36,88.73,A
372, Spain, 1,22, BS, 9, 9, 14, 8,84.98,71.78,C
373, Spain, 1,23, BS, 9, 9, 14, 8,78.49,88.35,A
374, Spain, 1,25, BS, 9, 9, 14, 8,75.03,84.53,B
375, Spain, 1,26, BS, 9, 9, 14, 8,87.92,84.68,B
376, Spain, 1,26, BS, 9, 9, 14, 8,89.12,71.71,C
377, Spain, 1,19, BS, 9, 9, 14, 8,74.66,77.38,C
378, Spain, 1,23, BS, 9, 9, 14, 8,84.64,75.32,C
379, Spain, 1,20, BS, 9, 9, 14, 8,83.00,74.35,C
380, Spain, 1,18, BS, 9, 9, 14, 8,85.77,89.32,A
381, Spain, 1,18, BS, 9, 9, 14, 8,75.09,87.52,B
382, Spain, 1,21, BS, 9, 9, 14, 8,71.70,86.98,B
383, Spain, 1,21, BS, 9, 9, 14, 8,70.23,76.46,C
384, Spain, 1,21, BS, 9, 9, 14, 8,73.89,73.78,C
385, Spain, 1,22, BS, 9, 9, 14, 8,83.51,82.84,B
386, Spain, 1,25, PHD, 12, 3, 9, 6,79.71,85.52,B
387, Spain, 1,22, PHD, 12, 3, 9, 6,89.92,78.93,C
388, Spain, 1,21, PHD, 12, 3, 9, 6,89.94,84.77,B
389, Spain, 1,20, PHD, 12, 3, 9, 6,81.15,81.59,B
390, Spain, 1,20, PHD, 12, 3, 9, 6,80.91,79.92,B
391, Spain, 1,26, PHD, 12, 3, 9, 6,78.70,71.52,C
392, Spain, 1,18, PHD, 12, 3, 9, 6,81.88,75.60,C
393, Spain, 1,18, PHD, 12, 3, 9, 6,79.58,89.86,A
394, Spain, 1,18, PHD, 12, 3, 9, 6,73.26,79.19,B
395, Spain, 1,19, PHD, 12, 3, 9, 6,87.84,83.89,B
396, Spain, 1,22, PHD, 12, 3, 9, 6,77.46,81.67,B
397, Spain, 1,25, PHD, 12, 3, 9, 6,86.13,89.43,A
